oid,Period_band_r,Amplitude_r,Mean_r,Std_r,class
513675,6.33122260704556,0.3309101999999999,13.259127587630662,0.2294915254084907,CEP
371805,2.818991156257926,0.39081455,15.791239251025058,0.2099114569408209,CEP
46919,5.239933356226709,0.2222900499999989,12.635843099426388,0.1231012853579694,CEP
181873,2.2519851261096107,0.1294989500000003,14.097531551934829,0.0994773793378514,CEP
437874,0.5772794381884374,0.1769924000000005,15.804207000616522,0.1114304133880848,CEP
148732,5.993690397563186,0.1769507000000008,15.448411864692485,0.1212785703446498,CEP
156994,0.6599513018303117,0.1529898499999991,12.51072819951338,0.1757603082056473,CEP
7123,6.800285675605784,0.3536854000000016,13.6920701434024,0.2152793378334941,CEP
299830,7.254676648475076,0.2653565499999999,13.747177867014926,0.163601025543137,CEP
486441,1.1558582872739005,0.1557910500000012,16.08633494479419,0.1030212322272434,CEP
583336,6.010755951116348,0.3135957499999993,17.66525785730337,0.2046505046059964,CEP
44972,0.7324594866973239,0.2058114999999993,17.976777334351144,0.1302231878136878,CEP
125187,0.3822245478453676,0.2574043499999998,15.255323345107035,0.1657767707333733,CEP
297323,1.054559504719811,0.465289349999999,13.102460301343283,0.2711011352550072,CEP
527905,1.3941884273296636,0.3296394499999984,16.446019610769234,0.228224738207719,CEP
171414,1.1499122309620762,0.1139945999999998,13.21995257281106,0.0682681767978792,CEP
113894,4.910829289995927,0.239435649999999,13.154646222944551,0.1449447124070111,CEP
168788,3.1540504549457578,0.1665811499999998,13.31081584920635,0.1077410697651658,CEP
325787,0.4884820803309604,0.2078904999999977,17.44919869633758,0.1314520141910071,CEP
372501,3.86100381124521,0.307227150000001,16.66663770859951,0.1866400655858502,CEP
155132,0.7278298473117061,0.1505646500000015,13.286692316929695,0.0891498455220383,CEP
72992,2.9443668889786854,0.4366912750000002,15.192471570139771,0.237250419098291,CEP
590722,3.2815200692480424,0.1150808499999982,14.453174485202494,0.0680667588592198,CEP
445737,1.2999451809397031,0.2426299999999983,18.62774836317512,0.142555131092057,CEP
384310,2.9320985949806304,0.3255863000000012,16.6449399661157,0.1997918462542738,CEP
454196,4.608294768854844,0.2410817000000005,14.16471870771812,0.148045662735342,CEP
600001,40.25423640871668,0.4294081000000007,15.09264835799756,0.2636032041145812,CEP
520730,4.479019001480217,0.2175770000000003,14.730935339572191,0.1264395485901287,CEP
62956,9.259258380315678,0.132685425,13.666430418377695,0.0913582991457658,CEP
506917,5.771567286983765,0.3037882000000014,18.07631410562249,0.188401154451314,CEP
15545,12.97814100599217,0.5243439500000022,20.172085148120303,0.2822919222096637,CEP
19388,1.291989582895347,0.13750075,14.67215932183709,0.0832593167951696,CEP
142014,0.653145377925987,0.1815957999999993,15.7408709071953,0.1103500682510585,CEP
227073,3.687887850261855,0.421096799999999,14.439783374656187,0.2480678962372515,CEP
537254,2.0401588864088644,0.1253318999999999,14.243223729310346,0.0683562989667122,CEP
